datetime,method,paras,NPC,NP,optimizer,vp_mode,obs,caltime,cost
2020-11-06-22-43,CBF,0.1,30,30,ipopt,4,TRUE,0.045305768,119.6296443
2020-11-06-22-46,CBF,0.1,30,30,ipopt,4,TRUE,0.029954659,119.6296443
2020-11-06-22-47,CBF,0.05,30,30,ipopt,4,TRUE,0.029977249,132.952331
2020-11-06-22-47,CBF,0.01,30,30,ipopt,4,TRUE,0.030584545,283.6993876
2020-11-06-22-48,CBF,0.1,30,40,ipopt,4,TRUE,0.036186919,222.8692963
2020-11-06-22-48,CBF,0.05,30,40,ipopt,4,TRUE,0.036487411,227.5046674
2020-11-06-22-49,CBF,0.01,30,40,ipopt,4,TRUE,0.036858468,306.9099173
2020-11-06-22-49,CBF,0.1,30,50,ipopt,4,TRUE,0.04198769,426.3810219
2020-11-06-22-50,CBF,0.05,30,50,ipopt,4,TRUE,0.042221493,427.8168594
2020-11-06-22-50,CBF,0.01,30,50,ipopt,4,TRUE,0.04366609,482.2700228
2020-11-06-22-51,PTW,0.01,30,30,ipopt,4,TRUE,0.035678212,201.5835861
2020-11-06-22-51,PTW,0.01,30,40,ipopt,4,TRUE,0.042497948,273.331005
2020-11-06-22-52,PTW,0.01,40,40,ipopt,4,TRUE,0.045731667,353.7477097
2020-11-06-22-53,PTW,0.01,30,50,ipopt,4,TRUE,0.049660828,449.7888086
2020-11-06-22-53,PTW,0.01,40,50,ipopt,4,TRUE,0.051502487,499.6697106
2020-11-06-22-54,PTW,0.01,50,50,ipopt,4,TRUE,0.054412531,599.6889719
2020-11-07-12-56-53,CBF,0.1,30,30,ipopt,4,TRUE,0.029982732,119.6296443
2020-11-07-12-57-16,CBF,0.05,30,30,ipopt,4,TRUE,0.030089365,132.952331
2020-11-07-12-57-39,CBF,0.01,30,30,ipopt,4,TRUE,0.030128233,283.6993876
2020-11-07-12-58-08,CBF,0.1,30,40,ipopt,4,TRUE,0.03665702,222.8692963
2020-11-07-12-58-36,CBF,0.05,30,40,ipopt,4,TRUE,0.036244317,227.5046674
2020-11-07-12-59-05,CBF,0.01,30,40,ipopt,4,TRUE,0.037195937,306.9099173
2020-11-07-12-59-38,CBF,0.1,30,50,ipopt,4,TRUE,0.042722416,426.3810219
2020-11-07-13-00-11,CBF,0.05,30,50,ipopt,4,TRUE,0.042813082,427.8168594
2020-11-07-13-00-44,CBF,0.01,30,50,ipopt,4,TRUE,0.043781581,482.2700228
2020-11-07-13-01-12,PTW,0.01,30,30,ipopt,4,TRUE,0.035855999,201.5835861
2020-11-07-13-01-46,PTW,0.01,30,40,ipopt,4,TRUE,0.043867767,273.331005
2020-11-07-13-02-21,PTW,0.01,40,40,ipopt,4,TRUE,0.045468686,353.7477097
2020-11-07-13-02-59,PTW,0.01,30,50,ipopt,4,TRUE,0.048927984,449.7888086
2020-11-07-13-03-38,PTW,0.01,40,50,ipopt,4,TRUE,0.051309836,499.6697106
2020-11-07-13-04-19,PTW,0.01,50,50,ipopt,4,TRUE,0.05404262,599.6889719
2020-11-07-15-52-02,CBF,0.01,30,30,ipopt,4,TRUE,0.032054787,258.9339779
2020-11-07-15-52-38,CBF,0.01,30,50,ipopt,4,TRUE,0.047472815,474.9427655
2020-11-07-15-53-43,PTW,0.01,30,30,ipopt,4,TRUE,0.085439229,207.1427873
2020-11-07-15-55-21,PTW,0.01,50,50,ipopt,4,TRUE,0.12909259,610.0467429
2020-11-07-16-06-44,CBF,0.01,30,20,ipopt,4,TRUE,0.03193363,457.1691066
2020-11-07-16-07-06,CBF,0.01,30,25,ipopt,4,TRUE,0.02857387,319.5769974
2020-11-07-16-07-59,PTW,0.01,20,20,ipopt,4,TRUE,0.069350317,224.4251003
2020-11-07-16-08-58,PTW,0.01,25,25,ipopt,4,TRUE,0.078206864,186.5607335
2020-11-07-16-12-56,CBF,0.01,30,20,ipopt,4,TRUE,0.024724534,508.9127149
2020-11-07-16-13-19,CBF,0.01,30,25,ipopt,4,TRUE,0.028702971,363.5822897
2020-11-07-16-13-43,PTW,0.01,20,20,ipopt,4,TRUE,0.031274804,229.3300957
2020-11-07-16-14-09,PTW,0.01,25,25,ipopt,4,TRUE,0.033760947,185.602221
2020-11-07-17-58-12,CBF,0.01,30,20,ipopt,4,TRUE,0.029461427,508.912715
2020-11-07-17-58-38,CBF,0.01,30,25,ipopt,4,TRUE,0.032669143,363.5822898
2020-11-07-18-00-33,CBF,0.01,30,20,ipopt,4,TRUE,0.051701422,508.9127159
2020-11-07-18-01-37,CBF,0.01,30,25,ipopt,4,TRUE,0.083555102,363.5822918
2020-11-07-18-16-24,CBF,0.01,30,50,ipopt,4,TRUE,0.045560141,485.5150228
2020-11-07-19-15-27,CBF,0.1,30,50,ipopt,4,TRUE,0.045761518,428.8604078
2020-11-07-19-23-31,CBF,0.1,30,50,sqpmethod,4,TRUE,0.644462956,428.8604131
2020-11-07-19-24-05,CBF,0.1,30,50,bonmin,4,TRUE,0.045104176,428.8604078
2020-11-07-19-24-46,PTW,0.1,50,50,ipopt,4,TRUE,0.053495238,602.2527778
2020-11-07-19-34-52,PTW,0.1,50,50,sqpmethod,4,TRUE,0.806953709,602.2527805
2020-11-07-19-35-36,PTW,0.1,50,50,bonmin,4,TRUE,0.058735241,602.2527778
2020-11-08-21-55-53,CBF,0.05,30,50,bonmin,4,FALSE,0.02964061,87.98850979
2020-11-08-22-09-46,PTW,0.05,5,50,bonmin,4,FALSE,1.111032392,inf
2020-11-08-22-19-38,CBF,0.005,30,50,ipopt,4,FALSE,0.027262519,98.76510134
2020-11-08-22-31-09,PTW,0.01,20,50,ipopt,4,FALSE,0.03079572,80.82309016
2020-11-09-12-40-27,CBF,0.01,30,50,ipopt,4,FALSE,0.026487995,96.36226958
2020-11-09-12-40-53,PTW,0.01,50,50,ipopt,4,FALSE,0.033357693,80.02819236
2020-11-09-12-42-31,CBF,0.001,30,50,ipopt,4,FALSE,0.031987437,99.57491057
2020-11-09-12-59-53,CBF,0.001,30,50,ipopt,4,TRUE,0.028714244,817.2531187
2020-11-09-13-07-14,CBF,0.001,30,50,ipopt,4,TRUE,0.028425211,817.2531187
2020-11-09-13-07-37,PTW,0.001,25,50,ipopt,4,TRUE,0.029683796,440.5988437
2020-11-09-13-08-02,PTW,0.001,50,50,ipopt,4,TRUE,0.033538625,602.2527778
2020-11-09-13-10-02,CBF,0.005,30,50,ipopt,4,TRUE,0.028189512,554.8913253
2020-11-09-13-11-54,CBF,0.01,30,50,ipopt,4,TRUE,0.029146208,485.5150228
2020-11-09-13-16-51,PTW,0.01,20,50,ipopt,4,TRUE,0.029786917,434.1810182
2020-11-09-13-17-51,PTW,0.01,10,50,ipopt,4,TRUE,0.027945042,428.8052154
2020-11-09-13-18-57,PTW,0.01,3,50,ipopt,4,TRUE,0.027040882,428.3161343
2020-11-09-15-36-38,CBF,0.005,30,80,ipopt,4,FALSE,0.045125682,84.4907195
2020-11-09-15-56-24,TP,0.005,30,80,ipopt,4,FALSE,0.038685544,86.37657997
2020-11-14-12-43-38,PTW,0.01,10,50,ipopt,5,TRUE,0.027890403,189.8078164
2020-11-14-12-44-04,PTW,0.01,50,50,ipopt,5,TRUE,0.033867911,259.2233368
2020-11-14-12-44-32,CBF,0.001,50,50,ipopt,5,TRUE,0.037082076,342.6914234
2020-11-14-13-04-47,CBF,0.005,30,50,ipopt,5,TRUE,0.028104249,242.025494
2020-11-14-13-06-39,CBF,0.005,30,50,ipopt,5,TRUE,0.033442495,238.1669902
2020-11-14-13-07-00,PTW,0.005,10,50,ipopt,5,TRUE,0.027940792,188.6354368
2020-11-14-13-07-26,PTW,0.005,50,50,ipopt,5,TRUE,0.033641397,258.0623577
2020-11-14-13-09-33,PTW,0.01,5,50,ipopt,5,TRUE,0.02727271,188.6354368
2020-11-14-14-03-36,CBF,0.005,30,50,ipopt,5,TRUE,0.029349987,539.8957485
2020-11-14-14-03-58,PTW,0.005,10,50,ipopt,5,TRUE,0.028562447,427.5178127
2020-11-14-14-04-25,PTW,0.005,50,50,ipopt,5,TRUE,0.034700273,600.9188695
2020-11-14-14-10-22,CBF,0.005,30,50,ipopt,5,TRUE,0.029872211,737.0849758
2020-11-14-14-10-45,PTW,0.005,10,50,ipopt,5,TRUE,0.028857306,641.7939205
2020-11-14-14-11-12,PTW,0.005,50,50,ipopt,5,TRUE,0.035712413,774.4400755
2020-11-14-14-13-45,CBF,0.01,30,50,ipopt,5,TRUE,0.031111909,682.4579082
